animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A686451,Garen,2014-09-07 12:04:00,12166 Metric Blvd in Austin (TX),Stray,Normal,Neutered Male,2 years,Border Collie Mix,Black,White,1,7.0
A686453,*Maddie,2014-08-22 11:39:00,1113 Banaster Ln in Austin (TX),Stray,Normal,Intact Female,1 year,American Staffordshire Terrier Mix,Blue,White,1,36.0
A686454,Louie,2014-08-22 11:40:00,12827 Ranch Road 620 North in Austin (TX),Stray,Normal,Neutered Male,10 months,Chihuahua Shorthair Mix,Tan,,1,4.0
A686455,N/A,2014-08-22 11:40:00,12827 Ranch Road 620 North in Austin (TX),Stray,Normal,Intact Male,6 months,Chihuahua Shorthair Mix,Tan,White,1,4.0
A686464,Pearce,2014-08-22 12:57:00,Pearce Rd And City Park in Austin (TX),Stray,Normal,Intact Male,2 years,Pit Bull Mix,Blue,White,1,161.0
A686467,Duke,2014-08-22 13:31:00,911 Westlake Dr in West Lake Hills (TX),Stray,Normal,Intact Male,4 years,Catahoula Mix,White,Tan,2,46.0
A686482,Emma,2014-08-22 16:25:00,200 Congress Avenue in Austin (TX),Owner Surrender,Normal,Intact Female,2 months,Pit Bull Mix,Brown,White,1,3.0
A686501,*Andy,2014-08-22 18:33:00,807 W Lynn St in Austin (TX),Stray,Normal,Intact Male,1 year,Chihuahua Shorthair Mix,Black,White,1,7.0
A686504,Angel Marie,2014-11-30 11:16:00,2213 Kale Dr in Austin (TX),Stray,Normal,Spayed Female,7 months,Cairn Terrier,Tan,,1,5.0
A686513,Sirius,2014-08-23 10:17:00,Round Mountain Rd in Travis (TX),Stray,Normal,Intact Male,1 year,Labrador Retriever Mix,Black,White,1,14.0
A686528,Jax,2014-08-23 11:17:00,501 U.S. 183 in Austin (TX),Stray,Normal,Intact Male,4 years,Pit Bull Mix,Blue,White,1,15.0
A686530,Peanut,2014-08-23 11:40:00,Austin (TX),Public Assist,Normal,Neutered Male,1 year,Border Collie Mix,White,Tan,1,25.0
A686532,*Izy,2014-08-23 11:53:00,1700 Teri Rd in Austin (TX),Stray,Normal,Intact Female,2 months,Jack Russell Terrier Mix,White,Brown,1,7.0
A686538,Shasta,2014-08-23 12:32:00,6200 Loyola Ln in Austin (TX),Stray,Normal,Intact Female,1 year,Bull Terrier Mix,Black,,1,85.0
A686544,N/A,2014-08-23 13:06:00,Wellsport And Waterway in Austin (TX),Stray,Normal,Intact Female,5 years,Shih Tzu,White,,1,4.0
A686553,Smokey,2014-08-23 13:24:00,6301 Thirlmare Ct in Austin (TX),Stray,Normal,Neutered Male,1 year,Black/Tan Hound Mix,Tricolor,,1,7.0
A686557,Jack,2014-08-23 12:41:00,Austin (TX),Owner Surrender,Normal,Intact Male,10 years,Jack Russell Terrier Mix,Brown,White,1,128.0
A686558,Brix,2014-08-23 14:00:00,Burnet Rd And 183 in Austin (TX),Stray,Normal,Intact Male,2 years,American Pit Bull Terrier Mix,White,Brown,1,56.0
