animal_id,name,datetime,found_location,type,intake_condition,sex,age,breed,color_primary,color_secondary,num_stays,avg_stay_len
A783954,N/A,2018-11-09 12:14:00,Pebble Run Path And Stoneridge Gap in Manor (TX),Stray,Normal,Intact Male,3,Smooth Fox Terrier Mix,Tricolor,,1,43.12777777777778
A783960,Hank,2018-11-09 12:54:00,Fm 973 And Decker Lake Road in Austin (TX),Stray,Normal,Intact Male,1,Pointer Mix,White,Tan,1,63.21597222222222
A783961,*Fennec,2018-11-09 13:11:00,4505 Magin Meadow Dr in Austin (TX),Stray,Normal,Intact Male,1,Carolina Dog Mix,Red,,1,63.19305555555555
A783962,Sally,2018-11-09 13:45:00,5500 Ross Rd in Austin (TX),Stray,Normal,Intact Female,1,Siberian Husky Mix,Black,White,1,6.9118055555555555
A783966,Jack,2018-11-09 13:45:00,5500 Ross Rd in Austin (TX),Stray,Normal,Neutered Male,1,Siberian Husky Mix,Red,White,1,4.007638888888889
A783969,Lucy,2018-11-09 14:10:00,Austin (TX),Owner Surrender,Normal,Intact Female,1,Harrier Mix,Black,Tricolor,1,35.16388888888889
A783970,Lucy,2018-11-09 14:10:00,Austin (TX),Owner Surrender,Normal,Intact Female,1,Harrier Mix,White,Tricolor,1,55.11805555555556
A783974,Aggie,2018-11-09 15:21:00,500 Caynon Ridge in Austin (TX),Stray,Normal,Intact Female,1,Great Pyrenees Mix,White,,1,118.12083333333334
A783976,Townes,2018-11-09 17:00:00,15924 Stewart Rd in Travis (TX),Stray,Sick,Intact Male,1,Smooth Fox Terrier Mix,Brown,White,1,74.04861111111111
A783985,Trixie,2018-11-09 17:21:00,7309 Lazy Creek in Austin (TX),Stray,Normal,Intact Female,2,Chihuahua Shorthair Mix,Black,Brown,1,23.040277777777778
A783988,*Quincy,2018-11-09 17:31:00,Manor Road And Rogge in Austin (TX),Stray,Normal,Intact Male,1,Labrador Retriever Mix,Black,White,1,81.96875
